week,Sum of positive,Sum of negative,Sum of anticipation,Sum of sadness,Sum of joy,Sum of trust,Sum of surprise,Sum of disgust,Sum of anger,Sum of fear,modified_positive,modified_negative
1,0.131822848,0,0.079860438,0.074074074,0,0.037037037,0.127449423,0,0.074074074,0.014925373,0.376169746,0.163073521
2,0.293336131,0.018348624,0.296248134,0.074099798,0.018348624,0.145327162,0.155760693,0.069835681,0.130194162,0.084533329,0.909020744,0.377011594
3,0.161323529,0.026666667,0.032941176,0.013333333,0,0,0.039215686,0.027777778,0.079215686,0.019607843,0.233480391,0.166601307
4,0.082113821,0,0.082113821,0,0,0.033333333,0,0,0.057723577,0,0.197560975,0.057723577
5,0.027777778,0,0.077777778,0,0,0,0.027777778,0,0,0.027777778,0.133333334,0.027777778
6,0,0,0,0,0,0,0,0,0.025,0,0,0.025
7,0.022727273,0.022727273,0,0,0,0,0,0,0.022727273,0,0.022727273,0.045454546
8,0.244444444,0,0.05,0,0,0,0.027777778,0,0.055555556,0,0.322222222,0.055555556
9,0.032258065,0,0,0.032258065,0,0,0.0625,0,0.032258065,0,0.094758065,0.06451613
10,0.590416169,0.065732759,0.303331965,0.065732759,0,0.23970462,0.204125616,0.0625,0.26121436,0.096982759,1.33757837,0.552162637
11,0.033898305,0,0.016949153,0.033898305,0,0.016949153,0.079449153,0,0.016949153,0,0.147245764,0.050847458
12,0.023809524,0.023809524,0,0,0,0,0.047619048,0,0.023809524,0,0.071428572,0.047619048
13,0.169389387,0,0.032786885,0.032786885,0,0.032786885,0.057177129,0.032786885,0.104215457,0.032786885,0.292140286,0.202576112
14,0.065217391,0,0,0,0,0,0,0,0.02173913,0,0.065217391,0.02173913
15,0,0.028571429,0,0,0,0,0,0,0.028571429,0,0,0.057142858
16,0.043478261,0,0.043478261,0,0,0,0,0,0,0.043478261,0.086956522,0.043478261
17,0.052631579,0,0,0,0,0,0,0,0,0,0.052631579,0
18,0.080952381,0.023809524,0.023809524,0.047619048,0.023809524,0.047619048,0.080952381,0.023809524,0.023809524,0.023809524,0.257142858,0.142857144
19,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0
20,0.040816327,0,0.020408163,0,0,0,0.020408163,0.020408163,0,0,0.081632653,0.020408163
21,0.208672087,0,0.104336043,0.048780488,0.024390244,0.024390244,0.048780488,0.024390244,0.048780488,0.048780488,0.410569106,0.170731708
22,0.056603774,0,0.018867925,0,0,0,0.037735849,0.018867925,0.018867925,0.018867925,0.113207548,0.056603775
23,0.08692185,0.03030303,0.08692185,0,0,0.03030303,0,0,0.03030303,0,0.20414673,0.06060606
24,0,0,0,0,0,0.022222222,0,0,0,0,0.022222222,0
25,0,0,0,0,0,0,0.105263158,0,0,0,0.105263158,0
26,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0
27,0.055555556,0,0.055555556,0,0,0,0,0,0,0.055555556,0.111111112,0.055555556
28,0.048780488,0,0.048780488,0,0,0,0,0,0.024390244,0,0.097560976,0.024390244
29,0.091182091,0,0.091182091,0.027027027,0,0.027027027,0.047229047,0.01010101,0.037128037,0.01010101,0.256620256,0.084357084
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0
32,0,0,0,0,0,0,0,0,0,0,0,0
33,0.145780051,0.02173913,0.063086104,0.02173913,0.02173913,0,0.060954817,0.019607843,0.082693947,0.019607843,0.291560102,0.165387893
34,0.05,0,0.025,0,0,0,0.0875,0.025,0,0.025,0.1625,0.05
35,0.033333333,0,0.066666667,0,0,0,0.033333333,0.033333333,0,0.033333333,0.133333333,0.066666666
36,0.029411765,0,0.029411765,0.029411765,0,0,0,0.029411765,0.029411765,0,0.05882353,0.088235295
37,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0
38,0.048780488,0,0,0,0,0,0.024390244,0,0,0,0.073170732,0
39,0.025974026,0,0.025974026,0,0,0,0,0,0,0,0.051948052,0
40,0.139950372,0,0.092307692,0.015384615,0,0,0.09528536,0.015384615,0.015384615,0.015384615,0.327543424,0.06153846
41,0.196303696,0.095159742,0.086247086,0.148811972,0.069058393,0.148811972,0.161798985,0.111888112,0.14277879,0.086247086,0.662220132,0.584885702
42,0.055555556,0,0.055555556,0,0,0,0.088815789,0,0,0.055555556,0.199926901,0.055555556
Grand Total,3.369218345,0.356867701,1.909598146,0.664957264,0.157345915,0.805511733,1.971299918,0.525102878,1.386795809,0.712335163,8.212974057,3.646058815
