week,Sum of fear,Sum of negative,Sum of joy,Sum of sadness,Sum of anticipation,Sum of trust,Sum of positive,Sum of surprise,Sum of disgust,Sum of anger,modified_positive,modified_negative
1,0.026315789,0.03030303,0.03030303,0.055727554,0.116333615,0.099729215,0.12693627,0.059714795,0,0.15653824,0.433016924,0.268884614
2,0.027777778,0.027777778,0.027777778,0.027777778,0.055555556,0.062260536,0.082582583,0.062260536,0.062260536,0.1515481,0.290436989,0.29714197
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.033333333,0,0.033333333,0,0,0,0.066666667,0
5,0.053997195,0.02173913,0,0.027027027,0.17326864,0.092244418,0.270800955,0.097475456,0.032258065,0.027027027,0.63378947,0.162048444
6,0.033333333,0.037037037,0,0.066448802,0.066666667,0.095860566,0.066666667,0.033333333,0.033333333,0.173856209,0.262527233,0.344008715
7,0.028571429,0.028571429,0,0.028571429,0.085714286,0.028571429,0.085714286,0.085714286,0,0.057142857,0.285714286,0.142857143
8,0.018181818,0,0,0,0.018181818,0,0.054545455,0.018181818,0,0,0.090909091,0.018181818
9,0,0,0,0,0.025,0,0.05,0.025,0,0,0.1,0
10,0,0,0,0,0,0,0.02,0,0,0,0.02,0
11,0,0.044444444,0,0.022222222,0,0.022222222,0.087922705,0.043478261,0,0.066666667,0.153623188,0.133333333
12,0.046511628,0,0,0.023255814,0.023255814,0.023255814,0.069767442,0.094684385,0.046511628,0.023255814,0.210963455,0.139534884
13,0.08030303,0.060606061,0.03030303,0.03030303,0.08030303,0.03030303,0.13030303,0.060606061,0.05,0.110606061,0.331818182,0.331818182
14,0.039215686,0,0,0,0.039215686,0.037037037,0.107843137,0.068627451,0.105664488,0.019607843,0.252723312,0.164488017
15,0,0.03125,0,0,0.028571429,0,0.114285714,0.028571429,0,0.0625,0.171428571,0.09375
16,0,0,0,0,0,0,0.06797235,0.035714286,0,0,0.103686636,0
17,0.078869048,0,0,0.03125,0.126488095,0.0625,0.181547619,0.102678571,0,0.03125,0.473214286,0.141369048
18,0,0,0,0.022727273,0,0.075757576,0.053030303,0.053030303,0,0.045454545,0.181818182,0.068181818
19,0,0,0,0,0,0,0,0.0625,0,0,0.0625,0
20,0.033333333,0,0.033333333,0.033333333,0.1,0.065591398,0.133333333,0.033333333,0,0,0.365591398,0.066666667
21,0,0.027777778,0.027777778,0.027777778,0.027777778,0.027777778,0.083333333,0,0.027777778,0.027777778,0.166666667,0.111111111
22,0.029411765,0.106060606,0.068710359,0.091966173,0.075394851,0.069238901,0.174599227,0.098122124,0.029411765,0.198555321,0.486065462,0.455405629
23,0.037735849,0,0,0,0.037735849,0,0.115631551,0.018867925,0,0.018867925,0.172235325,0.056603774
24,0,0,0,0,0,0.076923077,0,0.038461538,0,0.038461538,0.115384615,0.038461538
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0.071428571,0.022727273,0,0.022727273,0.094155844,0,0.071428571,0.13961039,0.142857143
27,0,0,0,0,0.032258065,0.032258065,0,0.032258065,0,0,0.096774194,0
28,0,0,0,0.022727273,0.043478261,0,0.066205534,0.045454545,0,0.022727273,0.15513834,0.045454545
29,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0,0.04,0.24,0.16
30,0.035714286,0,0,0,0.035714286,0,0.035714286,0.035714286,0,0,0.107142857,0.035714286
31,0.037735849,0.094339623,0,0.056603774,0.037735849,0.018867925,0.037735849,0.056603774,0.037735849,0.113207547,0.150943396,0.339622642
32,0,0,0,0,0,0,0.03030303,0,0,0.03030303,0.03030303,0.03030303
33,0.012987013,0,0,0,0.012987013,0,0.136154168,0.012987013,0,0.064516129,0.162128194,0.077503142
34,0,0.023255814,0.023255814,0.023255814,0.046511628,0.023255814,0.023255814,0,0,0.069767442,0.11627907,0.11627907
35,0,0,0,0,0,0,0.035714286,0,0,0,0.035714286,0
36,0,0,0,0,0,0,0,0.035714286,0,0.035714286,0.035714286,0.035714286
37,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0
38,0,0,0,0.03125,0,0,0.033333333,0,0,0.03125,0.033333333,0.0625
39,0.018867925,0.068181818,0.018867925,0.105917667,0.056603774,0.140080046,0.068038879,0.060463122,0.041595197,0.174099485,0.344053745,0.408662093
40,0.022222222,0.022222222,0.022222222,0.066666667,0.022222222,0.066666667,0.066666667,0,0,0.066666667,0.177777778,0.177777778
41,0.014492754,0.022727273,0,0.014492754,0.074440053,0.078282828,0.058496622,0.066205534,0,0.078282828,0.277425037,0.129995608
42,0.027777778,0.079734593,0.026315789,0.108187135,0.129490393,0.142669893,0.18358396,0.131321894,0.027777778,0.145973909,0.61338193,0.389451192
43,0.017241379,0.028571429,0,0.028571429,0.191543047,0.118609743,0.19366227,0.060829493,0,0.106642301,0.564644553,0.181026537
Grand_total,0.760596887,0.794600064,0.348867059,1.057489295,1.858508309,1.529963976,3.244241265,1.792063747,0.494326417,2.259695393,8.773644356,5.366708056
